,geolocation_id,geolocation_lat,geolocation_lng,city,state,id,customer_id
0,1037,-23.54562128115268,-46.63929204800168,SAO PAULO,SP,0,05b005e82f3f2dcc41b5504f00484e50
78,1046,-23.54608112703553,-46.64482029837157,SAO PAULO,SP,1,9a02295e3381803554347ab4dc1ab41b
2616,1012,-23.547762303364262,-46.63536053788448,SAO PAULO,SP,5,c5c064df6a4c428df004ad4759092dcb
2667,1047,-23.54627311241268,-46.64122516971552,SAO PAULO,SP,6,2c32dba7a49f14ff6c477b91e8a7fb06
2919,1013,-23.546923208436723,-46.6342636964915,SAO PAULO,SP,7,81ee77ee8d1e9675aa596585f370c795
2979,1011,-23.547639550320632,-46.63603162315495,SAO PAULO,SP,9,5a99f3ed7b721d9aa04b6f73e0abdfc7
3084,1032,-23.53841810407414,-46.634778375266734,SAO PAULO,SP,11,b941f36f010c46501e130569c3f7a490
3174,1014,-23.546435343326205,-46.63383023397196,SAO PAULO,SP,12,e674bf9e1fd5863bbb4c72f95fdba39f
3390,1024,-23.541389521053937,-46.62989908781218,SAO PAULO,SP,17,0264bbda6bd6492c79a5843f7c2e1eb4
3404,1009,-23.54693540437998,-46.63658792659698,SAO PAULO,SP,18,d0f3f691b729cd317bc9284b0c0c2fbc
3691,1020,-23.55223547100232,-46.6284406588955,SAO PAULO,SP,21,1092e3509e1abf967bdb283b72484323
4087,1043,-23.546656718016017,-46.64078762115524,SAO PAULO,SP,23,cd26b8d2d69af3bf6fd64e23cb6020c1
4100,1050,-23.549773516504185,-46.64559900666509,SAO PAULO,SP,24,d9cccfd1f0263ed3801c621a7a63b8ce
4814,1045,-23.541593762969622,-46.64189378810082,SAO PAULO,SP,25,1b3a2efa5be29f21adb3ffd8cdac5699
4850,1007,-23.550392524842728,-46.63730164071784,SAO PAULO,SP,27,6099b4a3bbcc0a01fb20ff6cab0289e3
4954,1041,-23.543539449073783,-46.64057731057763,SAO PAULO,SP,29,8f1a8643c245e8b74e2e6535ca5c4e19
5002,1005,-23.549819091869107,-46.63560588995324,SAO PAULO,SP,30,5a8b64ee6ccdae09ea823e6aa00e9517
5152,1017,-23.55001091199737,-46.63116636914989,SAO PAULO,SP,32,5c6f90081fa82c6502575fd32cf54c2e
5275,1019,-23.552151883432384,-46.63080224715792,SAO PAULO,SP,34,fb65e3e167bf3b2f7d2ba5b7a140e045
5325,1027,-23.538301166801343,-46.63076391104508,SAO PAULO,SP,39,e45d7222b87e8b15b377853dba5be723
5409,1033,-23.54032130474925,-46.636394815973325,SAO PAULO,SP,42,1db1cf9ec037c7b4d6f48b33a9cad90a
5691,1006,-23.55052430835593,-46.63669363835193,SAO PAULO,SP,48,fe9db57b1fe84352125989acb12d3c68
5709,1035,-23.54020455565808,-46.64414705704306,SAO PAULO,SP,55,30d149ba8c3793107e4829a8aaa4406f
5975,1042,-23.54505164917197,-46.64007245239201,SAO PAULO,SP,58,a648c69b66f223371753d5bf0fbfa4ad
6209,1036,-23.541700023861782,-46.64131782056096,SAO PAULO,SP,64,f6ad977a249563a1b6f614caa83909dc
6323,1048,-23.547448918662464,-46.64016924063704,SAO PAULO,SP,71,4ca9f150dfdd7257bd211c0c7c5bb752
6631,1031,-23.537304315614183,-46.63386243849112,SAO PAULO,SP,81,9484e4e49e1711abe997984a89cb4f1e
6751,1008,-23.54425493154535,-46.634639135589296,SAO PAULO,SP,84,50814dd40158d233103f675c340c68b1
6815,1003,-23.54903244546711,-46.63531311226845,SAO PAULO,SP,90,7ae2a9337aa4bc799723511faa1d6830
6832,1026,-23.53984025062037,-46.6302639919499,SAO PAULO,SP,100,e414cf673d7803bcddf9263feed7c535
6984,1015,-23.544826346129778,-46.63086956396899,SAO PAULO,SP,110,8197dc246c4a83cb58834c3495716dc0
7004,1038,-23.542679676299095,-46.63819683884986,SAO PAULO,SP,121,554ce400f275abc5439b06a3ba67a0ab
7022,1016,-23.54849512877264,-46.633490627676125,SAO PAULO,SP,123,de4226aa985c654b32ef83603e0cdbbb
7034,1049,-23.54530659310986,-46.636994571065735,SAO PAULO,SP,124,583c04eb909c371a1bb82915e0d57881
7076,1044,-23.544896375238064,-46.64201998306312,SAO PAULO,SP,148,d829dcbbc1ddabd3a91c20b64e2ce5d8
7127,1021,-23.541026814876787,-46.63207068206479,SAO PAULO,SP,164,b01592e974c5b73b5adc1cafc1ebb7e9
7171,1022,-23.544497629753597,-46.631461751457095,SAO PAULO,SP,175,e9806f0cec46b8ea205a3ba236ff0d35
7187,1030,-23.538363904524203,-46.63293009824575,SAO PAULO,SP,176,1ea8e45ffebf367b2f046c8b3c8ff230
7253,1025,-23.539920936547933,-46.6283479287932,SAO PAULO,SP,241,b45ea9acbd0aea9a6cf36bfefb9675b6
7268,1004,-23.550115903139226,-46.63512161420169,SAO PAULO,SP,242,a09edf8c1e842e94805a206b3d73eed5
7312,1023,-23.541849922557606,-46.6313376895666,SAO PAULO,SP,270,ebc03139c4eacc7f77065c3dcfd98612
