,geolocation_id,geolocation_lat,geolocation_lng,city,state,id,seller_id
0,1041,-23.5443921648681,-46.63949930627844,SAO PAULO,SP,3,e5cbe890e679490127e9a390b46bbd20
25,1035,-23.541577961711493,-46.64160722329613,SAO PAULO,SP,4,1d503743d2526f03f0c2c89540ee008c
64,1039,-23.54188300998332,-46.63991946670314,SAO PAULO,SP,16,2d34636518ba88f5349b732fcf8ba2e4
83,1042,-23.54487359810152,-46.64030309449483,SAO PAULO,SP,52,b6c6854d4d92a5f6f46be8869da3fa1a
123,1040,-23.540316757429707,-46.63735536871719,SAO PAULO,SP,59,784ba75dd9d20200c4caed3d7a77141a
137,1026,-23.539494799586286,-46.63284391414975,SAO PAULO,SP,62,c1dde11f12d05c478f5de2d7319ad3b2
449,1031,-23.536864121011018,-46.63349313820771,SAO PAULO,SP,77,d594982fd877af63ace38ea1fca27c76
511,1022,-23.54498660505508,-46.63345367485142,SAO PAULO,SP,83,09bad886111255c5b5030314fc7f1a4a
528,1001,-23.54929199999999,-46.633559478233785,SAO PAULO,SP,99,8602a61d680a10a82cceeeda0d99ea3d
554,1021,-23.54516769470249,-46.63224867958328,SAO PAULO,SP,129,e0487761face83d64fcada2408959a36
600,1044,-23.54575105023373,-46.64132693574358,SAO PAULO,SP,132,9d39404483343dd55c7ae254494d8388
618,1023,-23.54260295697964,-46.63094283625709,SAO PAULO,SP,257,f049a72cf58fd31b11f8919cade515e7
658,1123,-23.529307180131543,-46.63490526351788,SAO PAULO,SP,1461,f25e239052084705e17a982bc600ab2a
817,1139,-23.52076037607479,-46.661384138207694,SAO PAULO,SP,1463,1f7dfad2cb384ea4d2d7e1ffbd78c407
921,1156,-23.5298272739339,-46.66466605744709,SAO PAULO,SP,1471,74a9b9bddf14ece02beb81f52c41a88d
1109,1140,-23.517930174303164,-46.66742959008009,SAO PAULO,SP,1477,e116c7455dd26a4d8c3e92532583905f
1153,1131,-23.52164183207347,-46.64747554830047,SAO PAULO,SP,1486,4ddeb3e828550cddc8d45c8bc36ab2d1
1215,1125,-23.529050497085805,-46.63889432139766,SAO PAULO,SP,1490,7cf4ea70955b00d6b3c22542598e2715
1250,1127,-23.52773504025041,-46.64480016028046,SAO PAULO,SP,1492,f5b84683a9bf9e1df748cf40f601b39c
1290,1129,-23.5259237463212,-46.642131776011375,SAO PAULO,SP,1610,52f0fe436a347ddad7ed5f9aa4e27eaa
1330,1126,-23.52915073382772,-46.64042336234055,SAO PAULO,SP,1659,fac1a9017ade7bdc94058fc1c969f355
1364,1230,-23.532734734664448,-46.654324449073776,SAO PAULO,SP,3285,1354d51653f645349064725ed204e85e
1594,1214,-23.53569581346678,-46.64141313885349,SAO PAULO,SP,3290,5b2e94f2c22b39ccc24d34ad0f669672
